name,id,nametype,recclass,mass,fall,GeoLocation,year,Country,Continent
Mamra Springs,15401,Valid,Stony,1000,Fell,"(45.216670, 62.083330)",1927,Kazakhstan,AS
Oesede,17988,Valid,Stony,1400,Fell,"(52.283330, 8.050000)",1927,Germany,EU
Tilden,23998,Valid,Stony,74800,Fell,"(38.200000, -89.683330)",1927,United States,NA
Udei Station,24101,Valid,Iron,103000,Fell,"(7.950000, 8.083330)",1927,Nigeria,AF
Yoshiki,30372,Valid,Stony,0.1,Fell,"(34.166670, 131.450000)",1928,Japan,AS
Oter宣y,18042,Valid,Stony,246,Fell,"(58.883330, 9.400000)",1928,Norway,EU
Narellan,16912,Valid,Stony,367.5,Fell,"(-34.050000, 150.688890)",1928,Australia,OC
Isthilart,12053,Valid,Stony,3050,Fell,"(-31.183330, -57.950000)",1928,Argentina,SA
Utzenstorf,24136,Valid,Stony,3422,Fell,"(47.116670, 7.550000)",1928,Switzerland,EU
Naoki,16908,Valid,Stony,17000,Fell,"(19.250000, 77.000000)",1928,India,AS
Rewari,22593,Valid,Stony,3332,Fell,"(28.200000, 76.666670)",1929,India,AS
Bald Mountain,4925,Valid,Stony,3700,Fell,"(35.966670, -82.483330)",1929,United States,NA
Padvarninkai,18069,Valid,Stony,3858,Fell,"(55.666670, 25.000000)",1929,Lithuania,EU
Tauk,23887,Valid,Stony,6000,Fell,"(35.133330, 44.450000)",1929,Iraq,AS
Khmelevka,12297,Valid,Stony,6109,Fell,"(56.750000, 75.333330)",1929,Russia,EU
Beardsley,4984,Valid,Stony,16000,Fell,"(39.800000, -101.200000)",1929,United States,NA
Olmedilla de Alarc神n,18015,Valid,Stony,40000,Fell,"(39.566670, -2.100000)",1929,Spain,EU
Malampaka,15395,Valid,Stony,470,Fell,"(-3.133330, 33.516670)",1930,Tanzania,AF
Gyokukei,11467,Valid,Stony,1320,Fell,"(35.000000, 127.500000)",1930,South Korea,AS
Boriskino,5112,Valid,Stony,1342,Fell,"(54.233330, 52.483330)",1930,Russia,EU
Aguada,398,Valid,Stony,1620,Fell,"(-31.600000, -65.233330)",1930,Argentina,SA
Plantersville,18846,Valid,Stony,2085,Fell,"(30.700000, -96.116670)",1930,United States,NA
Lillaverke,14650,Valid,Stony,6862,Fell,"(56.650000, 15.866670)",1930,Sweden,EU
Moorleah,16738,Valid,Stony,8887.5,Fell,"(-40.975000, 145.600000)",1930,Australia,OC
Oldenburg (1930),18009,Valid,Stony,16570,Fell,"(52.950000, 8.166670)",1930,Germany,EU
Miller (Arkansas),16645,Valid,Stony,16700,Fell,"(35.400000, -92.050000)",1930,United States,NA
Karoonda,12264,Valid,Stony,41730,Fell,"(-35.083330, 139.916670)",1930,Australia,OC
Paragould,18101,Valid,Stony,408000,Fell,"(36.066670, -90.500000)",1930,United States,NA
Konovo,12344,Valid,Stony,90,Fell,"(42.516670, 26.166670)",1931,Bulgaria,EU
Pontlyfni,18865,Valid,Stony,157,Fell,"(53.036390, -4.319440)",1931,United Kingdom,EU
Yukan,30377,Valid,Stony,4800,Fell,"(28.716670, 116.616670)",1931,China,AS
Tatahouine,23884,Valid,Stony,12000,Fell,"(32.950000, 10.416670)",1931,Tunisia,AF
Witsand Farm,24322,Valid,Stony,66,Fell,"(-28.666670, 18.916670)",1932,Namibia,AF
Douar Mghila,7723,Valid,Stony,1161,Fell,"(32.333330, -6.300000)",1932,Morocco,AF
Prambachkirchen,18883,Valid,Stony,2125,Fell,"(48.302500, 13.940830)",1932,Austria,EU
Khor Temiki,12299,Valid,Stony,3200,Fell,"(16.000000, 36.000000)",1932,Sudan,AF
Khanpur,12289,Valid,Stony,3698,Fell,"(25.550000, 83.116670)",1932,India,AS
Kuznetzovo,12385,Valid,Stony,4047,Fell,"(55.200000, 75.333330)",1932,Russia,EU
Archie,2329,Valid,Stony,5070,Fell,"(38.500000, -94.300000)",1932,United States,NA
Gualeguaych神,11432,Valid,Stony,22000,Fell,"(-33.000000, -58.616670)",1932,Argentina,SA
Malaga,15393,Valid,Stony,150,Fell,"(32.216670, -104.000000)",1933,United States,NA
Dyarrl Island,7758,Valid,Stony-Iron,188,Fell,"(-3.000000, 151.000000)",1933,Papua New Guinea,OC
Brient,5140,Valid,Stony,219,Fell,"(52.133330, 59.316670)",1933,Russia,EU
Noyan-Bogdo,17936,Valid,Stony,250,Fell,"(42.916670, 102.466670)",1933,Mongolia,AS
Athens,4885,Valid,Stony,265,Fell,"(34.750000, -87.000000)",1933,United States,NA
Banten,4938,Valid,Stony,629,Fell,"(-6.333330, 106.000000)",1933,Indonesia,AS
Po-wang Chen,18879,Valid,Stony,665,Fell,"(31.416670, 118.500000)",1933,China,AS
Malvern,15400,Valid,Stony,807,Fell,"(-29.450000, 26.766670)",1933,South Africa,AF
Pesyanoe,18799,Valid,Stony,3393,Fell,"(55.500000, 66.083330)",1933,Russia,EU
Sioux County,23614,Valid,Stony,4100,Fell,"(42.583330, -103.666670)",1933,United States,NA
Pasamonte,18110,Valid,Stony,5100,Fell,"(36.216670, -103.400000)",1933,United States,NA
Repeev Khutor,22590,Valid,Iron,7000,Fell,"(48.600000, 45.666670)",1933,Russia,EU
Phum Sambo,18811,Valid,Stony,7800,Fell,"(12.000000, 105.483330)",1933,Cambodia,AS
Cherokee Springs,5340,Valid,Stony,8400,Fell,"(35.033330, -81.883330)",1933,United States,NA
Chajari,5316,Valid,Stony,18300,Fell,"(-30.783330, -58.050000)",1933,Argentina,SA
Zemaitkiemis,30399,Valid,Stony,44100,Fell,"(55.300000, 25.000000)",1933,Lithuania,EU
Pervomaisky,18798,Valid,Stony,66000,Fell,"(56.633330, 39.433330)",1933,Russia,EU
Rumuruti,22782,Valid,Stony,67,Fell,"(0.266670, 36.533330)",1934,Kenya,AF
Tirupati,24009,Valid,Stony,230,Fell,"(13.633330, 79.416670)",1934,India,AS
Capilla del Monte,5264,Valid,Stony,750,Fell,"(-30.883330, -64.550000)",1934,Argentina,SA
Rio Negro,22611,Valid,Stony,1310,Fell,"(-26.100000, -49.800000)",1934,Brazil,SA
Fayetteville,10079,Valid,Stony,2360,Fell,"(36.050000, -94.166670)",1934,United States,NA
Hainaut,11472,Valid,Stony,9000,Fell,"(50.316670, 3.733330)",1934,France,EU
Bahjoi,4922,Valid,Iron,10322,Fell,"(28.483330, 78.500000)",1934,India,AS
Mangwendi,15405,Valid,Stony,22300,Fell,"(-17.650000, 31.600000)",1934,Zimbabwe,AF
Farmville,10075,Valid,Stony,56000,Fell,"(35.550000, -77.533330)",1934,United States,NA
Madiun,15380,Valid,Stony,400,Fell,"(-7.750000, 111.533330)",1935,Indonesia,AS
Sungach,23745,Valid,Stony,637,Fell,"(44.866670, 133.166670)",1935,Russia,EU
Nikolaevka,16976,Valid,Stony,3996,Fell,"(52.450000, 78.633330)",1935,Kazakhstan,AS
Perpeti,18793,Valid,Stony,23474,Fell,"(23.325000, 91.000000)",1935,Bangladesh,AS
Patwar,18171,Valid,Stony-Iron,37350,Fell,"(23.150000, 91.183330)",1935,Bangladesh,AS
＝owicz,14718,Valid,Stony-Iron,59000,Fell,"(52.000000, 19.916670)",1935,Poland,EU
Crescent,5470,Valid,Stony,78.4,Fell,"(35.950000, -97.583330)",1936,United States,NA
Nassirah,16922,Valid,Stony,347,Fell,"(-21.733330, 165.900000)",1936,New Caledonia,OC
Yurtuk,30378,Valid,Stony,1472,Fell,"(47.316670, 35.366670)",1936,Ukraine,EU
Macibini,15372,Valid,Stony,1995,Fell,"(-28.833330, 31.950000)",1936,South Africa,AF
Ichkala,11995,Valid,Stony,3973,Fell,"(58.200000, 82.933330)",1936,Russia,EU
Rangala,22392,Valid,Stony,3224.5,Fell,"(25.383330, 72.016670)",1937,India,AS
Kaptal-Aryk,12253,Valid,Stony,3500,Fell,"(42.450000, 73.366670)",1937,Kazakhstan,AS
Tauti,23888,Valid,Stony,21000,Fell,"(46.716670, 23.500000)",1937,Romania,EU
Kainsaz,12229,Valid,Stony,200000,Fell,"(55.433330, 53.250000)",1937,Russia,EU
Putinga,18905,Valid,Stony,300000,Fell,"(-29.033330, -53.050000)",1937,Brazil,SA
Bloomington,5076,Valid,Stony,67.8,Fell,"(40.480000, -89.004170)",1938,United States,NA
Pavlodar (stone),18175,Valid,Stony,142.5,Fell,"(52.300000, 77.033330)",1938,Kazakhstan,AS
Chicora,5349,Valid,Stony,303,Fell,"(40.933330, -79.733330)",1938,United States,NA
Ivuna,12063,Valid,Stony,704.5,Fell,"(-8.416670, 32.433330)",1938,Tanzania,AF
Kasamatsu,12266,Valid,Stony,710,Fell,"(35.366670, 136.766670)",1938,Japan,AS
Lavrentievka,12743,Valid,Stony,800,Fell,"(52.450000, 51.566670)",1938,Russia,EU
Benld,5021,Valid,Stony,1770.5,Fell,"(39.083330, -89.150000)",1938,United States,NA
Pantar,18098,Valid,Stony,2130,Fell,"(8.066670, 124.283330)",1938,Philippines,AS
Kukschin,12368,Valid,Stony,2250,Fell,"(51.150000, 31.700000)",1938,Ukraine,EU
Aztec,4913,Valid,Stony,2830,Fell,"(36.800000, -108.000000)",1938,United States,NA
Zhovtnevyi,30407,Valid,Stony,107000,Fell,"(47.583330, 37.250000)",1938,Ukraine,EU
Santa Cruz,23164,Valid,Stony,60,Fell,"(24.166670, -99.333330)",1939,Mexico,NA
Washougal,24218,Valid,Stony,225,Fell,"(45.583330, -122.350000)",1939,United States,NA
Glanggang,10924,Valid,Stony,1303,Fell,"(-7.250000, 107.700000)",1939,Indonesia,AS
Selakopi,23481,Valid,Stony,1590,Fell,"(-7.233330, 107.333330)",1939,Indonesia,AS
Chervony Kut,5342,Valid,Stony,1700,Fell,"(50.833330, 34.000000)",1939,Ukraine,EU
Ekeby,7776,Valid,Stony,3336,Fell,"(56.033330, 13.000000)",1939,Sweden,EU
Kendleton,12275,Valid,Stony,6937,Fell,"(29.450000, -96.000000)",1939,United States,NA
Andura,2298,Valid,Stony,17900,Fell,"(20.883330, 76.866670)",1939,India,AS
Dresden (Ontario),7731,Valid,Stony,47700,Fell,"(42.520000, -82.260000)",1939,Canada,NA
Erakot,10042,Valid,Stony,113,Fell,"(19.033330, 81.891670)",1940,India,AS
Semarkona,23487,Valid,Stony,691,Fell,"(22.250000, 79.000000)",1940,India,AS
Bhola,5040,Valid,Stony,1047,Fell,"(22.683330, 90.650000)",1940,Bangladesh,AS
Kediri,12270,Valid,Stony,3300,Fell,"(-7.750000, 112.016670)",1940,Indonesia,AS
Ramnagar,22384,Valid,Stony,3766,Fell,"(26.450000, 82.900000)",1940,India,AS
Mafra,15383,Valid,Stony,600,Fell,"(-26.166670, -49.933330)",1941,Brazil,SA
Black Moshannan Park,5065,Valid,Stony,705,Fell,"(40.916670, -78.083330)",1941,United States,NA
Maridi,15421,Valid,Stony,3200,Fell,"(4.666670, 29.250000)",1941,South Sudan,AF
Phuoc-Binh,18812,Valid,Stony,11000,Fell,"(15.716670, 108.100000)",1941,Vietnam,AS
Pollen,18860,Valid,Stony,253.6,Fell,"(66.348330, 14.015000)",1942,Norway,EU
Bununu,5165,Valid,Stony,357,Fell,"(10.016670, 9.583330)",1942,Nigeria,AF
Parsa,18109,Valid,Stony,800,Fell,"(26.200000, 85.400000)",1942,India,AS
Kamalpur,12238,Valid,Stony,2770,Fell,"(26.033330, 81.466670)",1942,India,AS
Maziba,15454,Valid,Stony,4975,Fell,"(-1.216670, 30.000000)",1942,Uganda,AF
Ankober,2304,Valid,Stony,6500,Fell,"(9.533330, 39.716670)",1942,Ethiopia,AF
Kapoeta,12251,Valid,Stony,11355,Fell,"(4.700000, 33.633330)",1942,South Sudan,AF
Forest Vale,10120,Valid,Stony,26000,Fell,"(-33.350000, 146.858330)",1942,Australia,OC
Benoni,5023,Valid,Stony,3880,Fell,"(-26.166670, 28.416670)",1943,South Africa,AF
Leedey,12755,Valid,Stony,51500,Fell,"(35.883330, -99.333330)",1943,United States,NA
Mike,16636,Valid,Stony,224.2,Fell,"(46.233330, 17.533330)",1944,Hungary,EU
Torrington,24032,Valid,Stony,259.1,Fell,"(42.066670, -104.166670)",1944,United States,NA
Mtola,16820,Valid,Stony,1100,Fell,"(-11.500000, 33.500000)",1944,Malawi,AF
Hallingeberg,11479,Valid,Stony,1456,Fell,"(57.816670, 16.233330)",1944,Sweden,EU
Valdavur,24144,Valid,Stony,2799,Fell,"(11.983330, 79.750000)",1944,India,AS
Atoka,4888,Valid,Stony,1384.2,Fell,"(34.316670, -96.150000)",1945,United States,NA
Soroti,23671,Valid,Iron,2050,Fell,"(1.700000, 33.633330)",1945,Uganda,AF
Meru,15491,Valid,Stony,6000,Fell,"(0.000000, 37.666670)",1945,Kenya,AF
Fuhe,52412,Valid,Stony,23000,Fell,"(31.475560, 113.566940)",1945,China,AS
Krasnyi Klyuch,12357,Valid,Stony,4000,Fell,"(54.333330, 56.083330)",1946,Russia,EU
Bursa,5177,Valid,Stony,25000,Fell,"(40.200000, 29.233330)",1946,Turkey,AS
Walters,24210,Valid,Stony,28100,Fell,"(34.333330, -98.300000)",1946,United States,NA
Krymka,12364,Valid,Stony,50000,Fell,"(47.833330, 30.766670)",1946,Ukraine,EU
Pe棲a Blanca Spring,18786,Valid,Stony,70000,Fell,"(30.125000, -103.116670)",1946,United States,NA
Seldebourak,23483,Valid,Stony,150,Fell,"(22.833330, 4.983330)",1947,Algeria,AF
Git-Git,10919,Valid,Stony,480,Fell,"(9.600000, 9.916670)",1947,Nigeria,AF
L神nghalsen,12461,Valid,Stony,2300,Fell,"(58.850000, 16.733330)",1947,Sweden,EU
Eagle,7760,Valid,Stony,10000,Fell,"(40.781670, -96.471670)",1947,United States,NA
Reliegos,22584,Valid,Stony,17300,Fell,"(42.475000, -5.333330)",1947,Spain,EU
Sikhote-Alin,23593,Valid,Iron,23000000,Fell,"(46.160000, 134.653330)",1947,Russia,EU
Mardan,15414,Valid,Stony,4500,Fell,"(34.233330, 72.083330)",1948,Pakistan,AS
Uzcudun,24140,Valid,Stony,20000,Fell,"(-44.116670, -66.150000)",1948,Argentina,SA
Norton County,17922,Valid,Stony,1100000,Fell,"(39.683330, -99.866670)",1948,United States,NA
Karewar,12260,Valid,Stony,180,Fell,"(12.900000, 7.150000)",1949,Nigeria,AF
Alberta,454,Valid,Stony,625,Fell,"(2.000000, 22.666670)",1949,Democratic Republic of the Congo,AF
Palolo Valley,18082,Valid,Stony,682,Fell,"(21.300000, -157.783330)",1949,United States,NA
Vetluga,24169,Valid,Stony,750,Fell,"(57.800000, 45.800000)",1949,Russia,EU
Akaba,426,Valid,Stony,779,Fell,"(29.516670, 35.050000)",1949,Jordan,AS
Beddgelert,4993,Valid,Stony,794,Fell,"(53.016670, -4.100000)",1949,United Kingdom,EU
Adzhi-Bogdo (stone),390,Valid,Stony,910,Fell,"(44.833330, 95.166670)",1949,Mongolia,AS
Guidder,11443,Valid,Stony,968,Fell,"(9.916670, 13.983330)",1949,Cameroon,AF
Mezel,16627,Valid,Stony,1300,Fell,"(45.766670, 3.250000)",1949,France,EU
Benton,5026,Valid,Stony,2840,Fell,"(45.950000, -67.550000)",1949,Canada,NA
Rupota,22783,Valid,Stony,6000,Fell,"(-10.266670, 38.766670)",1949,Tanzania,AF
Kunashak,12377,Valid,Stony,200000,Fell,"(55.783330, 61.366670)",1949,Russia,EU
Garland,10861,Valid,Stony,102,Fell,"(41.683330, -112.133330)",1950,United States,NA
Thal,23908,Valid,Stony,342,Fell,"(33.400000, 70.600000)",1950,Pakistan,AS
Trom宣y,24053,Valid,Stony,357.4,Fell,"(58.473330, 8.866670)",1950,Norway,EU
Geidam,10870,Valid,Stony,725,Fell,"(12.916670, 11.916670)",1950,Nigeria,AF
St. Louis,23089,Valid,Stony,1000,Fell,"(38.700000, -90.233330)",1950,United States,NA
Madhipura,15379,Valid,Stony,1000,Fell,"(25.916670, 86.366670)",1950,India,AS
Patrimonio,18116,Valid,Stony,2121,Fell,"(-19.533330, -48.566670)",1950,Brazil,SA
Monte das Fortes,16725,Valid,Stony,4885,Fell,"(38.016670, -8.250000)",1950,Portugal,EU
Arroyo Aguiar,2340,Valid,Stony,7450,Fell,"(-31.416670, -60.666670)",1950,Argentina,SA
Vengerovo,24158,Valid,Stony,10800,Fell,"(56.133330, 77.266670)",1950,Russia,EU
Murray,16882,Valid,Stony,12600,Fell,"(36.600000, -88.100000)",1950,United States,NA
Yambo,30345,Valid,Stony,4,Fell,"(1.000000, 22.500000)",1951,Democratic Republic of the Congo,AF
Aarhus,2,Valid,Stony,720,Fell,"(56.183330, 10.233330)",1951,Denmark,EU
Kalaba,12232,Valid,Stony,950,Fell,"(-6.833330, 29.500000)",1951,Democratic Republic of the Congo,AF
Dubrovnik,7736,Valid,Stony,1900,Fell,"(42.458330, 18.441670)",1951,Croatia,EU
Manych,15409,Valid,Stony,3555,Fell,"(45.816670, 44.633330)",1951,Russia,EU
Elenovka,7824,Valid,Stony,54640,Fell,"(47.833330, 37.666670)",1951,Ukraine,EU
Galim (b),10849,Valid,Stony,28,Fell,"(7.050000, 12.433330)",1952,Cameroon,AF
Galim (a),10848,Valid,Stony,36.1,Fell,"(7.050000, 12.433330)",1952,Cameroon,AF
Zavetnoe,30395,Valid,Stony,800,Fell,"(47.133330, 43.900000)",1952,Russia,EU
Min-Fan-Zhun,16697,Valid,Stony,5500,Fell,"(32.333330, 120.666670)",1952,China,AS
Avanhandava,4905,Valid,Stony,9330,Fell,"(-21.460280, -49.950830)",1952,Brazil,SA
Abee,6,Valid,Stony,107000,Fell,"(54.216670, -113.000000)",1952,Canada,NA
Medanitos,15467,Valid,Stony,31,Fell,"(-27.250000, -67.500000)",1953,Argentina,SA
Peckelsheim,18181,Valid,Stony,117.8,Fell,"(51.666670, 9.250000)",1953,Germany,EU
Molteno,16717,Valid,Stony,150,Fell,"(-31.250000, 26.466670)",1953,South Africa,AF
H神kmark,11893,Valid,Stony,305.5,Fell,"(64.433330, 21.200000)",1954,Sweden,EU
Arbol Solo,2325,Valid,Stony,810,Fell,"(-33.000000, -66.000000)",1954,Argentina,SA
Ishinga,12049,Valid,Stony,1300,Fell,"(-8.933330, 33.800000)",1954,Tanzania,AF
Sylacauga,23773,Valid,Stony,5560,Fell,"(33.188360, -86.294500)",1954,United States,NA
Nikolskoe,16977,Valid,Stony,6000,Fell,"(56.116670, 37.333330)",1954,Russia,EU
Yangchiang,30348,Valid,Stony,20000,Fell,"(21.833330, 111.833330)",1954,China,AS
Lahrauli,12433,Valid,Stony,900,Fell,"(26.783330, 82.716670)",1955,India,AS
Messina,15495,Valid,Stony,2405,Fell,"(38.183330, 15.566670)",1955,Italy,EU
Zvonkov,30415,Valid,Stony,2568,Fell,"(50.200000, 30.250000)",1955,Ukraine,EU
Karloowala,12263,Valid,Stony,2950,Fell,"(31.583330, 71.600000)",1955,Pakistan,AS
Centerville,5307,Valid,Stony,45.6,Fell,"(43.200000, -96.916670)",1956,United States,NA
Hotse,11913,Valid,Stony,180,Fell,"(35.666670, 115.500000)",1956,China,AS
San Pedro de Quiles,23130,Valid,Stony,282,Fell,"(-31.016670, -71.400000)",1956,Chile,SA
Breitscheid,5134,Valid,Stony,1500,Fell,"(50.666940, 8.183610)",1956,Germany,EU
Sinnai,23613,Valid,Stony,2000,Fell,"(39.300000, 9.200000)",1956,Italy,EU
Idutywa,12000,Valid,Stony,3457,Fell,"(-32.100000, 28.333330)",1956,South Africa,AF
Nadiabondi,16889,Valid,Stony,8165,Fell,"(12.000000, 1.000000)",1956,Burkina Faso,AF
Paranaiba,18103,Valid,Stony,100000,Fell,"(-19.133330, -51.666670)",1956,Brazil,SA
Al Rais,446,Valid,Stony,160,Fell,"(24.416670, 39.516670)",1957,Saudi Arabia,AS
Ufana,24106,Valid,Stony,189.2,Fell,"(-4.266670, 35.350000)",1957,Tanzania,AF
Distrito Quebracho,7649,Valid,Stony,400,Fell,"(-31.883330, -60.466670)",1957,Argentina,SA
Essebi,10055,Valid,Stony,500,Fell,"(2.883330, 30.833330)",1957,Democratic Republic of the Congo,AF
Ibitira,11993,Valid,Stony,2500,Fell,"(-20.000000, -45.000000)",1957,Brazil,SA
Raco,22368,Valid,Stony,5000,Fell,"(-26.666670, -65.450000)",1957,Argentina,SA
Okabe,17998,Valid,Stony,194,Fell,"(36.183330, 139.216670)",1958,Japan,AS
Ramsdorf,22386,Valid,Stony,4682,Fell,"(51.883330, 6.933330)",1958,Germany,EU
St.-Chinian,23097,Valid,Stony,134.3,Fell,"(43.433330, 2.950000)",1959,France,EU
Kandahar (Afghanistan),12243,Valid,Stony,299,Fell,"(31.600000, 65.783330)",1959,Afghanistan,AS
Akwanga,432,Valid,Stony,3000,Fell,"(8.916670, 8.433330)",1959,Nigeria,AF
Hamlet,11485,Valid,Stony,3710,Fell,"(41.383330, -86.600000)",1959,United States,NA
Yardymly,30352,Valid,Iron,150200,Fell,"(38.933330, 48.250000)",1959,Azerbaijan,AS
Soheria,23660,Valid,Stony,72.9,Fell,"(27.133330, 84.066670)",1960,India,AS
Woolgorong,24334,Valid,Stony,36000,Fell,"(-27.750000, 115.833330)",1960,Australia,OC
Bruderheim,5156,Valid,Stony,303000,Fell,"(53.900000, -112.883330)",1960,Canada,NA
Millbillillie,16643,Valid,Stony,330000,Fell,"(-26.450000, 120.366670)",1960,Australia,OC
Ras Tanura,22395,Valid,Stony,6.1,Fell,"(26.666670, 50.150000)",1961,Saudi Arabia,AS
Bells,5005,Valid,Stony,375,Fell,"(33.600000, -96.466670)",1961,United States,NA
Kulak,12369,Valid,Stony,453.6,Fell,"(30.731110, 66.802220)",1961,Pakistan,AS
Ehole,7774,Valid,Stony,2400,Fell,"(-17.300000, 15.833330)",1961,Angola,AF
Djermaia,7656,Valid,Stony,3950,Fell,"(12.733330, 15.050000)",1961,Chad,AF
Harleton,11830,Valid,Stony,8360,Fell,"(32.675000, -94.511670)",1961,United States,NA
Kayakent,12268,Valid,Iron,85000,Fell,"(39.263330, 31.780000)",1961,Turkey,AS
Kiel,12301,Valid,Stony,737.6,Fell,"(54.400000, 10.150000)",1962,Germany,EU
Dosso,7722,Valid,Stony,1250,Fell,"(13.050000, 3.166670)",1962,Niger,AF
Ste. Marguerite,23099,Valid,Stony,4960,Fell,"(50.766670, 3.000000)",1962,Belgium,EU
Bogou,5097,Valid,Iron,8800,Fell,"(12.500000, 0.700000)",1962,Burkina Faso,AF
Zagami,30386,Valid,Stony,18000,Fell,"(11.733330, 7.083330)",1962,Nigeria,AF
Desuri,6693,Valid,Stony,25400,Fell,"(25.733330, 73.616670)",1962,India,AS
Hoxie,11915,Valid,Stony,266.1,Fell,"(39.350000, -100.450000)",1963,United States,NA
Zaisan,30388,Valid,Stony,463,Fell,"(47.500000, 83.000000)",1963,Kazakhstan,AS
Karatu,12258,Valid,Stony,2220,Fell,"(-3.500000, 35.583330)",1963,Tanzania,AF
Inner Mongolia,12037,Valid,Stony,3000,Fell,"(41.000000, 112.000000)",1963,China,AS
Ohuma,17996,Valid,Stony,7700,Fell,"(6.750000, 8.500000)",1963,Nigeria,AF
Peace River,18180,Valid,Stony,45760,Fell,"(56.133330, -117.933330)",1963,Canada,NA
Wolamo,24324,Valid,Stony,166.4,Fell,"(9.000000, 39.000000)",1964,Ethiopia,AF
Jiange,12086,Valid,Stony,222,Fell,"(31.916670, 104.916670)",1964,China,AS
Muzaffarpur,16885,Valid,Iron,1245,Fell,"(26.133330, 85.533330)",1964,India,AS
神anakkale,5250,Valid,Stony,4000,Fell,"(39.800000, 26.600000)",1964,Turkey,AS
Chernyi Bor,5339,Valid,Stony,6000,Fell,"(53.700000, 30.100000)",1964,Belarus,EU
Granes,10956,Valid,Stony,9000,Fell,"(42.900000, 2.250000)",1964,France,EU
Revelstoke,22592,Valid,Stony,1,Fell,"(51.333330, -118.950000)",1965,Canada,NA
Taonan,23873,Valid,Stony,3850,Fell,"(45.400000, 122.900000)",1965,China,AS
Conquista,5418,Valid,Stony,20350,Fell,"(-19.850000, -47.550000)",1965,Brazil,SA
Barwell,4954,Valid,Stony,44000,Fell,"(52.565280, -1.339720)",1965,United Kingdom,EU
